src_type,reverse_type
0,42
1,43
2,44
3,45
4,46
5,47
6,48
7,49
8,50
9,51
10,52
11,53
12,54
13,55
14,56
15,57
16,58
17,59
18,60
19,61
20,62
21,63
22,64
23,65
24,66
25,67
26,68
27,69
28,70
29,71
30,72
31,73
32,74
33,75
34,76
35,77
36,78
37,79
38,80
39,81
40,82
41,83
42,0
43,1
44,2
45,3
46,4
47,5
48,6
49,7
50,8
51,9
52,10
53,11
54,12
55,13
56,14
57,15
58,16
59,17
60,18
61,19
62,20
63,21
64,22
65,23
66,24
67,25
68,26
69,27
70,28
71,29
72,30
73,31
74,32
75,33
76,34
77,35
78,36
79,37
80,38
81,39
82,40
83,41
84,85
85,84
86,86
