vertex_id:int,label_id:int,postal_code:string,latitude:double,longitude:double,item_review_count:int,is_open:int,user_review_count:int,yelping_since:string,fans:int,average_stars:double,name:string
0,0,28215,35.237242,-80.737092,41,1,,,,,
1,0,28217,35.165117,-80.8797953,11,0,,,,,
2,0,28208,35.2244671,-80.8891205,139,1,,,,,
3,0,28207,35.2037331,-80.8357245,31,0,,,,,
4,0,28262,35.340251,-80.7649579,31,1,,,,,
5,0,28211,35.177439,-80.798697,87,1,,,,,
6,0,28105,35.1380019,-80.6844887,38,1,,,,,
7,0,28208,35.2206542579,-80.9401094913,120,1,,,,,
8,0,28209,35.1529699851,-80.834318954,141,1,,,,,
9,0,28212,35.1708445,-80.7457141,19,1,,,,,
10,0,28134,35.0764781,-80.8823561,257,1,,,,,
11,0,28203,35.2110826,-80.8610434,286,1,,,,,
12,0,28227,35.172523,-80.662364,55,1,,,,,
13,0,28216,35.3483712,-80.8546009,95,1,,,,,
14,0,28203,35.2150212,-80.8565352,265,0,,,,,
15,0,28212,35.188469,-80.761267,23,0,,,,,
16,0,28262,35.303719221,-80.7493155509,34,1,,,,,
17,0,28203,35.2112290037,-80.8577322414,104,1,,,,,
18,0,28213,35.254686,-80.793515,39,1,,,,,
19,0,28205,35.2017653,-80.7808648,36,1,,,,,
20,0,28104,35.053472,-80.7708,71,1,,,,,
21,0,28208,35.234463,-80.933905,11,0,,,,,
22,0,28210,35.145671,-80.825569,225,1,,,,,
23,0,28202,35.227392,-80.840592,202,0,,,,,
24,0,28277,35.061319,-80.814423,35,0,,,,,
25,0,28217,35.1800007,-80.8912165,27,0,,,,,
26,0,28227,35.1677779921,-80.7421357651,41,1,,,,,
27,0,28079,35.073407,-80.651303,15,1,,,,,
28,0,28212,35.2033796,-80.7380499,9,1,,,,,
29,0,28205,35.2042561,-80.8087536,207,1,,,,,
30,0,28227,35.1471355,-80.7256428,53,1,,,,,
31,0,28270,35.1352436,-80.7366164,34,1,,,,,
32,0,28227,35.2086518,-80.6945842,12,1,,,,,
33,0,28213,35.3143810487,-80.702227056,22,1,,,,,
34,0,28105,35.1356484,-80.710873,11,1,,,,,
35,0,28027,35.3662451,-80.7109813,24,1,,,,,
36,0,28083,35.4651598,-80.5884972,36,1,,,,,
37,0,28262,35.3145768,-80.7627069,99,1,,,,,
38,0,28216,35.353584,-80.850346,77,1,,,,,
39,0,28027,35.3705892,-80.7261556,51,0,,,,,
40,0,28211,35.152570794,-80.8320686086,114,1,,,,,
41,0,28217,35.178752,-80.880019,519,1,,,,,
42,0,28227,35.1598778,-80.7338904,42,1,,,,,
43,0,28134,35.0985164,-80.8806338,22,1,,,,,
44,0,28217,35.1620852,-80.8862217,45,0,,,,,
45,0,89109,36.1196503,-115.1714281,1541,1,,,,,
46,0,89119,36.1165794831,-115.139024607,102,1,,,,,
47,0,28270,35.1385912496,-80.7380919904,19,1,,,,,
48,0,89109,36.1173432,-115.1763623,67,0,,,,,
49,0,89119,36.110878,-115.1513045,136,1,,,,,
50,0,89109,36.127644,-115.168356,857,1,,,,,
51,0,89109,36.1022507,-115.1699679,3730,1,,,,,
52,0,89109,36.1023786,-115.1745465,257,1,,,,,
53,0,89162,36.175,-115.136389,24,0,,,,,
54,0,89109,36.1123576,-115.1702213,2349,1,,,,,
55,0,89109,36.126655042,-115.169354327,141,1,,,,,
56,0,28227,35.2134002,-80.6890044,11,1,,,,,
57,0,28205,35.2206557,-80.8137755,29,1,,,,,
58,0,89109,36.115189,-115.168244,1088,1,,,,,
59,0,89109,36.1319294,-115.1626532,102,1,,,,,
60,0,89109,36.1418125,-115.1800125,351,0,,,,,
61,0,89014,36.0738472,-115.072077,526,1,,,,,
62,0,89109,36.121177,-115.168596,67,1,,,,,
63,0,28211,35.176328,-80.799683,17,1,,,,,
64,0,89109,36.1362575,-115.1512526,932,0,,,,,
65,0,89109,36.1268121273,-115.174767695,714,1,,,,,
66,0,89109,36.116765,-115.174595,2627,1,,,,,
67,0,89109,36.091895,-115.175256,2898,1,,,,,
68,0,89101,36.169182,-115.141881,1422,1,,,,,
69,0,28105,35.1399,-80.7171,42,1,,,,,
70,0,28105,35.120081,-80.713921,26,1,,,,,
71,0,28205,35.2139529,-80.7692749,10,0,,,,,
72,0,28207,35.1975075,-80.8260792,18,1,,,,,
73,0,28205,35.2139396,-80.7694598,240,1,,,,,
74,0,28203,35.2040168,-80.8390226,39,1,,,,,
75,0,28203,35.216576,-80.854651,9,0,,,,,
76,0,28213,35.2925845,-80.7457411,27,1,,,,,
77,0,28209,35.1772095,-80.876766,41,1,,,,,
78,0,28209,35.1737841895,-80.8500034958,56,0,,,,,
79,0,28027,35.368547,-80.7094736,30,1,,,,,
80,0,28027,35.3726988,-80.71475,13,1,,,,,
81,0,28027,35.3710975,-80.7146849,14,1,,,,,
82,0,28027,35.372569,-80.7267414,65,1,,,,,
83,0,28105,35.1357219,-80.7092308,8,0,,,,,
84,0,28205,35.2191229202,-80.814356532,51,1,,,,,
85,0,28262,35.302143,-80.7477477,32,0,,,,,
86,0,28105,35.085813,-80.732171,17,0,,,,,
87,0,28273,35.1358576316,-80.9373579923,109,1,,,,,
88,0,28205,35.2197368,-80.8121235,463,1,,,,,
89,0,28203,35.2143506,-80.8575412,361,1,,,,,
90,0,28216,35.3060842,-80.8542466,71,1,,,,,
91,0,28204,35.21582,-80.821622,177,1,,,,,
92,0,28204,35.213685,-80.844951,31,1,,,,,
93,0,28027,35.3673262,-80.7106781,16,1,,,,,
